"gene_id","hl.Neurite","hl.Soma"
"ENSMUSG00000020594",3.4,3.15
"ENSMUSG00000020598",3.625,3.25
"ENSMUSG00000020608",2.375,1.825
"ENSMUSG00000020611",5.175,1.6
"ENSMUSG00000020644",2.6,2.225
"ENSMUSG00000020646",1.4,1.6
"ENSMUSG00000020668",4.575,3.425
"ENSMUSG00000020671",4.475,4.225
"ENSMUSG00000020680",6.775,5.65
"ENSMUSG00000020694",4.2,3.75
"ENSMUSG00000020705",3.55,1.925
"ENSMUSG00000020708",5.75,3.025
"ENSMUSG00000020721",1.675,2.025
"ENSMUSG00000020723",4.15,2.3
"ENSMUSG00000020794",3.8,3.775
"ENSMUSG00000020817",2.95,4.15
"ENSMUSG00000020840",6.5,5.125
"ENSMUSG00000020844",2.35,2.6
"ENSMUSG00000020859",2.75,2.375
"ENSMUSG00000020863",5.1,2.65
"ENSMUSG00000020864",3.875,2.025
"ENSMUSG00000020883",4.65,2.475
"ENSMUSG00000020886",8.425,3.85
"ENSMUSG00000020888",3.975,3.6
"ENSMUSG00000020894",2.275,4.925
"ENSMUSG00000020929",3.875,4.6
"ENSMUSG00000020935",1.975,1.15
"ENSMUSG00000020954",2.2,4.2
"ENSMUSG00000020978",4.575,3.2
"ENSMUSG00000020994",5.75,2.75
"ENSMUSG00000021000",2.8,2.7
"ENSMUSG00000021010",1.425,1.5
"ENSMUSG00000021012",5.175,3.75
"ENSMUSG00000021022",1.9,2.3
"ENSMUSG00000021024",7.225,2.7
"ENSMUSG00000021025",2.25,2.625
"ENSMUSG00000021027",2.95,3.275
"ENSMUSG00000021039",2.6,2.625
"ENSMUSG00000021040",5.025,5.675
"ENSMUSG00000021051",3.875,1.6
"ENSMUSG00000021066",4.95,3.65
"ENSMUSG00000021072",5.075,3.6
"ENSMUSG00000021079",3.825,2.8
"ENSMUSG00000021087",8.4,7.725
"ENSMUSG00000021096",3.175,4.3
"ENSMUSG00000021111",2.95,3.975
"ENSMUSG00000021124",3.9,5.375
"ENSMUSG00000021134",2.85,2.9
"ENSMUSG00000021136",5.35,4.075
"ENSMUSG00000021144",6.05,3.45
"ENSMUSG00000021149",1.8,2.575
"ENSMUSG00000021178",3.825,5.1
"ENSMUSG00000021198",2.775,2.625
"ENSMUSG00000021217",2,3.8
"ENSMUSG00000021218",7.525,3.325
"ENSMUSG00000021221",0.975,1.575
"ENSMUSG00000021244",2.975,1.725
"ENSMUSG00000021262",8.2,4.35
"ENSMUSG00000021264",6.6,2.25
"ENSMUSG00000021270",4.6,3.825
"ENSMUSG00000021277",2.25,2.975
"ENSMUSG00000021282",5.95,4.35
"ENSMUSG00000021302",1.125,1.725
"ENSMUSG00000021314",3.275,4.375
"ENSMUSG00000021326",3.325,3.725
"ENSMUSG00000021366",4.9,3.25
"ENSMUSG00000021374",2.25,3.8
"ENSMUSG00000021377",2.775,3.05
"ENSMUSG00000021400",3.7,3.175
"ENSMUSG00000021413",2.325,2.075
"ENSMUSG00000021431",1.35,2.125
"ENSMUSG00000021460",2.125,2.3
"ENSMUSG00000021466",1.9,2.125
"ENSMUSG00000021470",4.2,4.075
"ENSMUSG00000021486",1.8,1.575
"ENSMUSG00000021488",4.175,1.375
"ENSMUSG00000021540",2.175,1.6
"ENSMUSG00000021549",2.05,2.55
"ENSMUSG00000021555",3.725,3.6
"ENSMUSG00000021556",5.05,4.6
"ENSMUSG00000021557",5.875,2.175
"ENSMUSG00000021559",4.7,3.65
"ENSMUSG00000021577",3.075,1.25
"ENSMUSG00000021589",2.825,3.925
"ENSMUSG00000021595",3.85,3.875
"ENSMUSG00000021608",2.775,2.825
"ENSMUSG00000021614",2.225,4.825
"ENSMUSG00000021643",4.475,4.35
"ENSMUSG00000021681",2.9,1.9
"ENSMUSG00000021693",3.1,3.625
"ENSMUSG00000021699",2.05,2.15
"ENSMUSG00000021710",2.6,3.65
"ENSMUSG00000021713",3.8,1.95
"ENSMUSG00000021733",3.725,1.675
"ENSMUSG00000021745",2.325,2
"ENSMUSG00000021767",1.2,1.825
"ENSMUSG00000021774",5.75,6.075
"ENSMUSG00000021782",4.05,2.7
"ENSMUSG00000021816",4.4,4.05
"ENSMUSG00000021823",3.375,6.425
"ENSMUSG00000021831",4.35,2.45
"ENSMUSG00000021840",3.75,2.75
"ENSMUSG00000021910",5.575,5.775
"ENSMUSG00000021938",2.55,4.975
"ENSMUSG00000021945",2.55,2
"ENSMUSG00000021967",2.8,3.95
"ENSMUSG00000021969",2.8,2.85
"ENSMUSG00000021983",1.925,2.4
"ENSMUSG00000021987",2.475,5.9
"ENSMUSG00000021991",2.95,1.775
"ENSMUSG00000022000",3.425,4.325
"ENSMUSG00000022010",2.375,2.95
"ENSMUSG00000022012",1.225,1.775
"ENSMUSG00000022044",5.75,4.175
"ENSMUSG00000022048",7.65,6.8
"ENSMUSG00000022052",2.675,2.15
"ENSMUSG00000022053",1.55,3.175
"ENSMUSG00000022055",4.225,5.175
"ENSMUSG00000022076",1.9,2.275
"ENSMUSG00000022106",3.8,2.3
"ENSMUSG00000022111",5.65,7.8
"ENSMUSG00000022119",2.075,1.825
"ENSMUSG00000022141",4.25,2.775
"ENSMUSG00000022185",2.225,2.35
"ENSMUSG00000022186",6.95,3.625
"ENSMUSG00000022191",1.525,2.975
"ENSMUSG00000022201",2.425,5.925
"ENSMUSG00000022240",2,2.5
"ENSMUSG00000022246",3.725,1.25
"ENSMUSG00000022248",2.6,1.875
"ENSMUSG00000022255",4.775,2.05
"ENSMUSG00000022263",2.65,4.125
"ENSMUSG00000022265",3.55,4.375
"ENSMUSG00000022280",5.25,1.525
"ENSMUSG00000022305",1.825,1.65
"ENSMUSG00000022336",5.375,6.3
"ENSMUSG00000022337",8.525,4.575
"ENSMUSG00000022339",5.325,3.025
"ENSMUSG00000022350",4.975,2.475
"ENSMUSG00000022351",1.8,2.65
"ENSMUSG00000022353",4.2,3.825
"ENSMUSG00000022354",7.175,3.6
"ENSMUSG00000022377",2.4,2.3
"ENSMUSG00000022400",4.3,5.35
"ENSMUSG00000022403",5.75,3.725
"ENSMUSG00000022426",2.875,2.625
"ENSMUSG00000022437",4.725,5.625
"ENSMUSG00000022456",3.05,6.325
"ENSMUSG00000022462",5.875,2.375
"ENSMUSG00000022463",3.7,2.25
"ENSMUSG00000022517",2.925,4.85
"ENSMUSG00000022521",2.275,1.875
"ENSMUSG00000022536",3.475,1.5
"ENSMUSG00000022557",7,3.875
"ENSMUSG00000022564",5.3,3.15
"ENSMUSG00000022577",1.45,2.85
"ENSMUSG00000022607",2.95,2.125
"ENSMUSG00000022629",4.15,5.3
"ENSMUSG00000022634",3.175,3.475
"ENSMUSG00000022637",3.375,2.65
"ENSMUSG00000022682",2.85,3.575
"ENSMUSG00000022708",2.5,1.875
"ENSMUSG00000022718",5.15,3.425
"ENSMUSG00000022752",5.925,6.175
"ENSMUSG00000022774",8.625,3.25
"ENSMUSG00000022788",1.775,1.725
"ENSMUSG00000022801",1.975,3.3
"ENSMUSG00000022822",5.975,2.55
"ENSMUSG00000022837",1.925,1.525
"ENSMUSG00000022841",4.625,3.875
"ENSMUSG00000022858",3,2.45
"ENSMUSG00000022865",4.575,4.475
"ENSMUSG00000022883",2.025,1.95
"ENSMUSG00000022885",2.45,1.75
"ENSMUSG00000022897",4.25,5.65
"ENSMUSG00000022905",5.025,4.3
"ENSMUSG00000022914",2.15,1.975
"ENSMUSG00000022935",2.15,3.15
"ENSMUSG00000022956",5.75,6.55
"ENSMUSG00000022957",3.55,3.725
"ENSMUSG00000022961",4.05,5.675
"ENSMUSG00000022973",4.5,2.925
"ENSMUSG00000022974",2.625,3.325
"ENSMUSG00000022995",7.225,5.075
"ENSMUSG00000023004",6.15,5.35
"ENSMUSG00000023007",2.725,3.35
"ENSMUSG00000023018",2.4,2.25
"ENSMUSG00000023067",2.25,1.45
"ENSMUSG00000023089",9.35,2.575
"ENSMUSG00000023110",5.625,2.75
"ENSMUSG00000023147",3.875,6.3
"ENSMUSG00000023150",3.3,2.875
"ENSMUSG00000023169",4.625,4.075
"ENSMUSG00000023286",1.825,2.6
"ENSMUSG00000023353",5.125,4.05
"ENSMUSG00000023391",1.525,3.2
"ENSMUSG00000023452",3.55,4.075
"ENSMUSG00000023456",3.35,4.375
"ENSMUSG00000023723",5.2,3.825
"ENSMUSG00000023755",4.525,4
"ENSMUSG00000023827",6.025,2.975
"ENSMUSG00000023852",3.5,3.725
"ENSMUSG00000023868",1.725,2.85
"ENSMUSG00000023906",2.9,3.425
"ENSMUSG00000023927",5.175,5.175
"ENSMUSG00000023977",2.625,3.3
"ENSMUSG00000024002",5.7,4.675
"ENSMUSG00000024006",2.925,3.1
"ENSMUSG00000024007",4.85,2.45
"ENSMUSG00000024038",6.325,6.575
"ENSMUSG00000024044",4.575,2.8
"ENSMUSG00000024054",4.6,3.075
"ENSMUSG00000024063",4.55,2.75
"ENSMUSG00000024065",2.5,4.175
"ENSMUSG00000024068",3.2,5.3
"ENSMUSG00000024073",4.175,4.075
"ENSMUSG00000024083",4.575,3.275
"ENSMUSG00000024109",2.775,2.725
"ENSMUSG00000024121",7.05,3.55
"ENSMUSG00000024143",3.075,4
"ENSMUSG00000024172",2.6,3.375
"ENSMUSG00000024219",3.075,3.075
"ENSMUSG00000024220",3.7,2.65
"ENSMUSG00000024234",4.525,3.475
"ENSMUSG00000024236",3.8,2.225
"ENSMUSG00000024238",3.7,4.975
"ENSMUSG00000024240",3.225,1.55
"ENSMUSG00000024241",2.9,2.125
"ENSMUSG00000024245",1.175,1.125
"ENSMUSG00000024268",4.65,3.95
"ENSMUSG00000024270",2.55,6.525
"ENSMUSG00000024271",2.275,5.225
"ENSMUSG00000024287",4.775,3.625
"ENSMUSG00000024290",2.9,2.525
"ENSMUSG00000024294",3.4,2.775
"ENSMUSG00000024302",2.875,4.4
"ENSMUSG00000024304",2.9,2
"ENSMUSG00000024309",2.3,2.825
"ENSMUSG00000024317",4.95,1.475
"ENSMUSG00000024335",2.675,3.75
"ENSMUSG00000024350",2.225,1.325
"ENSMUSG00000024393",5.525,3.525
"ENSMUSG00000024420",2.05,2.7
"ENSMUSG00000024425",4.2,4.25
"ENSMUSG00000024456",2.15,2.1
"ENSMUSG00000024462",4.675,2.275
"ENSMUSG00000024474",4.45,4.525
"ENSMUSG00000024480",8.6,4.125
"ENSMUSG00000024483",2.25,1.025
"ENSMUSG00000024498",4.025,4
"ENSMUSG00000024500",1.95,2.05
"ENSMUSG00000024501",2.625,3.85
"ENSMUSG00000024502",1.65,1.85
"ENSMUSG00000024515",2.55,3.3
"ENSMUSG00000024534",1.575,0.975
"ENSMUSG00000024548",1.75,1.725
"ENSMUSG00000024565",1.65,2.55
"ENSMUSG00000024587",6.925,6.55
"ENSMUSG00000024589",2.875,2.35
"ENSMUSG00000024594",3.525,3.45
"ENSMUSG00000024597",4.45,3.55
"ENSMUSG00000024608",8.625,8.025
"ENSMUSG00000024614",3.675,1.7
